City Name,Incorporation Date,1980-2019 Number Annexations,1980-2019 Acreage Annexed,Closest Incorp Year Pop Data,Percent Change Pop (Incorp to 2018),"Government Structure (Council Manager, Strong Mayor Council, Weak Mayor Council, City Commission)",City Type (Charter or General Law),"Population Estimate
 (as of July 1, 2018)",Hispanic or Latino (%),"White alone, Not Hispanic or Latino (%)","Black alone, Not Hispanic or Latino (%)","American Indian and Alaska Native alone, Not Hispanic or Latino (%)","Asian alone, Not Hispanic or Latino (%)","Native Hawaiian and Other Pacific Islander alone, Not Hispanic or Latino (%)","Some other race alone, Not Hispanic or Latino (%)","Two or more races alone, Not Hispanic or Latino (%)","Household Income < $10,000 (%)","Household Income $10,000 - $14,999 (%)","Household income $15,000 to $24,999 (%)","Household Income $25,000 to $34,999 (%)","Household Income $35,000 to $49,999 (%)","Household Income $50,000 to $74,999 (%)","Household Income $75,000 to $99,999 (%)","Household Income $100,000 to $149,999 (%) ","Household Income $150,000 to $199,999 (%)","Household Income $200,000 or more (%)",Household Median income (dollars),Household Mean income (dollars),Percent Democratic,Enterprise Data- Water Services Provided by Other Agencies,No Match- Other Service Ent. Data to City Web data,"Four System Categories (1=City, 2=IOU, 3=SD, 4=Multiple/Mutual/Other City)",Number of System Types for Multiple Systems,Multiple System Types,System Type,Number of Water Systems,Water Systems,% of customers served outside of local jurisdiction boundaries, Has your jurisdiction adopted programs and/or policies to improve water use efficiency?,Retrofit requirements for commercial buildings at re-sale,Retrofit requirements for residential buildings at re-sale,Regulations that prohibit development projects that would result in a net increase in water use,Ordinances for recycled water,Ordinances or landscaping standards,Development standards that require or promote low-impact development (LID),"Residential water use restrictions (e.g., limited landscape watering times)","Commercial water use restrictions (e.g., limited landscape watering times)",Requirements for water metering at residential developments,Number of Sewer Systems,Sewer Systems,Number of Trash Collectors,Trash Services,,Overall Risk Designation,Overall Rank,Overall Points,Liquidity Points,Debt Burden Points,General Fund Reserves Points,Revenue Trends Points,Pension Obligations Points,Pension Funding Points,Pension Costs Points,Future Pension Costs Points,OPEB Obligations Points,OPEB Funding Points,OpRev_2018 (Water),OpExp_2018 (Water),NonOpRev_2018 (Water),NonOpEx_2018 (Water),TransfIn (Water),TransfOut (Water),Total Income (Water) ,Total Transfers In/Out (Water),Total Tranfers / Total Income (Water),OpRev_2018 (Sewer),OpExp_2018 (Sewer),NonOpRev_2018 (Sewer),NonOpEx_2018 (Sewer),TransfIn (Sewer),TransfOut (Sewer),Total Income (Sewer),Total In/Out (Sewer) ,Tranfers / Total Income (Sewer),OpRev_2018 (Solid Waste),OpExp_2018 (Solid Waste),NonOpRev_2018 (Solid Waste),NonOpEx_2018 (Solid Waste),TransfIn (Solid Waste),TransfOut (Solid Waste),Total Income (Solid Waste) ,Transfers In/Out (Solid Waste),Total Tranfers / Total Income (Solid Waste),OpRev_2018 (Electric ),OpExp_2018 (Electric),NonOpRev_2018 (Electric),NonOpEx_2018 (Electric),TransfIn (Electric),TransfOut (Electric ),Total Income (Electric) ,Transfers In/Out (Electric),Total Tranfers / Total Income (Electric),OpRev_2018 (Gas),OpExp_2018 (Gas),NonOpRev_2018 (Gas),NonOpEx_2018 (Gas),TransfIn (Gas),TransfOut (Gas),Total Income (Gas),Transfers In/Out (Gas),% Tranfers to Total Income (Gas),Total # Enterprise Funds (Excluding Water),Total # Enterprise Finds (With Water EF included ),Water EF (Y/N),Binary City Run or No,,City Run Water With NO EF,Water EF with No City Run System,Total Revenue Gov Funds,Total Revenue Proprietary Funds        ,Total Expenditures Gov Funds        ,Total Expenditures Proprietary Funds,Revenues Less Expenditures of Gov Funds,"Income Before Capital Contributions, Transfers, and Special and Extraordinary Items of Proprietary Funds ",Transfers In (Out) Proprietary Funds,Cash and Investments: Governmental Funds ,Cash and Investments: General Fund ,Cash and Investments: Enterprise Funds 
Portola,1946,8,119,"2,261",-14.55108359,Council-Manager,General Law,1932,13.00,82.00,0.30,0.50,2.50,0.00,0.00,1.70,3.9,16.8,18.1,6.2,12.5,16.7,13.4,8.3,3,1.1,41053,58248,38.53,N,,1,,,1,1,City operated,#REF!,,,,,,,,,,,1,City operated,1,Intermountain Disposal,,LOW,460,94.83,10,13.24,30,3.75,10,3.95,4.72,4.17,10,5,981770,651864,32102,43137,NULL,NULL,318871,,,696670,502324,103550,508,NULL,NULL,297388,,,336372,162557,13043,0,NULL,NULL,186858,,, , , , , , ,,,, , , , , , ,,,,2,3,1,1,0,,,1650811,2163507,1639372,1360390,11439,803117,NULL,2538311,2413772,2326173
Portola Valley,1964,0,,"4,996",-7.966373098,Council-Manager,General Law,4598,7.20,81.10,0.30,0.00,7.20,0.00,0.00,4.00,0.9,1.9,1.8,2.4,6.8,8.1,4.5,8.4,13.2,51.9,210625,300707,76.54,,,4,2,"IOU, Special District",6,2,"California Water Company (most), Los Trancos County Water District",#REF!,,,,,1,1,1,,,,1,West Bay Sanitary District ,1,GreenWaste Recovery,,LOW,447,92.61,10,15,30,3.13,10,4.5,4.44,3.89,10,1.65, , , , , , ,,,,,,,,,,,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,0,0,0,0,0,,,6637196,NULL,6258205,NULL,378991,0,NULL,14557261,4920880,
Poway,1980,1,"1,325","43,516",14.22005699,Council-Manager,General Law,49704,18.10,64.80,1.20,0.10,11.60,0.20,0.20,3.90,2.7,2.2,5.1,4.7,7.9,13.6,11.2,21.7,11.5,19.4,105732,133916,44.33,N,,1,,,1,1,City operated,#REF!,Yes,,,,1,1,1,1,1,,1,City operated,1,EDCO,,LOW,438,90.83,10,15,30,3.25,7.92,3.55,3.33,2.78,10,5,28784316,25490688,115828,11836,33364,-318940,3397620,-285576,-0.08405178,9224147,8797837,152370,0,22240,-163487,578680,-141247,-0.24408481,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,1,2,1,1,0,,,61108829,41453660,61981871,35759074,-873042,5694586,-1117768,68764299,48470359,27028377
Rancho Cordova,2003,0,,"64,776",15.14295418,Council-Manager,General Law,74585,21.60,49.10,8.80,0.30,13.00,0.80,0.50,5.80,4.3,3.9,8.8,10.1,12.9,18.2,13.7,15.7,7.6,5,63221,80725,53.98,,,4,3,"IOU, Other City, Special District",6,4,"GSWC, California American Water, Sacramento County Water Agency, City of Folsom Water District",#REF!,,,,,,,,,,,1,Sacramento Area Sewer District,1,Republic Services,,LOW,375,84.23,10,14.91,18.95,3.88,10,4.1,4.72,4.72,10,2.95, , , , , , ,,,,,,,,,,,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,0,0,0,0,0,,,82311637,4952087,69343154,11289194,12968483,-6337107,3623525,126000000,31448487,11338423
Rancho Cucamonga,1977,12,"2,484","55,250",221.721267,Council-Manager,General Law,177751,37.90,36.80,8.90,0.40,12.60,0.20,0.20,3.00,3.6,2.2,6.2,5.8,9.2,15.7,15.6,20.7,10.8,10.1,86355,104053,49.29,,,3,,,5,1,Cucamonga Valley Water District,#REF!,,,,,,1,,,,,1,Cucamonga Valley Water District,1,Burrtec Waste Services,,LOW,450,92.87,10,15,30,2.75,8.72,3.9,3.89,3.61,10,5, , , , , , ,,,,,,,,,,,,,,,,,,,,,,12841944,8419196,62564,0,NULL,-1241140,4485312,-1241140,-0.276712077, , , , , , ,,,,1,1,0,0,0,,,178000000,14097984,195000000,13543171,-17000000,554813,859099,307000000,92441556,19760653
Rancho Mirage,1973,13,"3,825","6,281",191.9280369,Council-Manager,Charter,18336,9.80,81.00,2.20,0.40,5.00,0.10,0.00,1.40,6.5,4.1,9.6,7.6,10.2,14.1,9.9,13.8,8.2,16.1,71227,120123,50.21,,,3,,,5,1,Coachella Valley Water District,#REF!,Yes,,,,,1,,,,,1,Coachella Valley Water District,1,Burrtec Waste Services,,LOW,454,93.69,10,15,30,2.13,10,4.6,4.72,4.44,10,2.8, , , , , , ,,,,,,,,,,,,,,,,,,,,,,2094542,1334576,0,0,NULL,NULL,759966,,, , , , , , ,,,,1,1,0,0,0,,,46057200,2094542,48865801,1334576,-2808601,759966,NULL,96042956,68165838,510851
Rancho Palos Verdes,1973,3,725,"36,577",14.62941193,Council-Manager,General Law,41928,9.00,52.30,1.80,0.20,30.70,0.70,0.10,5.20,3.1,1.1,4.3,4.6,4.4,10.7,9.4,17.8,14.1,30.4,133286,170631,52.86,,,2,,,2,1,California Water Service,#REF!,Yes,,,,,1,1,,,,1,County operated (Los Angeles County Consolidated Sewer Maintenance District),1,EDCO,,LOW,391,85.62,10,15,21.55,2.75,9.84,3.7,4.17,3.61,10,5, , , , , , ,,,,,,,,,,,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,0,0,0,0,0,,,37714095,469730,38232808,1559598,-518713,-1089868,NULL,60520648,18239105,1029409
Rancho Santa Margarita,2000,2,3,"47,214",2.353115601,Council-Manager,General Law,48325,20.70,61.90,2.90,0.00,10.40,0.10,0.20,3.90,2,1.8,3.9,4.1,5.3,13.3,11.8,21.7,15.7,20.2,115073,142744,43.19,,,3,1,Special Districts,6,2,"Trabuco Canyon Water District, Santa Margarita Water District",#REF!,Yes,,,,,1,,,,,2,"Trabuco Canyon Water District, Santa Margarita Water District",1,CR&R Environmental Services,,LOW,402,87.4,10,11.91,30,2.38,10,3.95,4.72,4.44,10,0, , , , , , ,,,,,,,,,,,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,0,0,0,0,0,,,20819089,NULL,20960991,NULL,-141902,0,NULL,22715323,18590849,
Red Bluff,1876,20,"1,054","2,106",578.2051282,Council-Manager,General Law,14283,16.70,74.10,1.30,1.40,2.90,0.00,0.00,3.50,8.5,11.8,20.7,14.8,13.7,15.9,8.4,4.1,0.1,1.9,31065,43275,34.02,N,,1,,,1,1,City operated,#REF!,Yes,,,,,1,1,,,1,1,City operated,1,Green Waste of Tehama,,MODERATE,195,65.74,10,15,11.84,3.88,5.76,3.7,4.17,1.39,10,0,2221532,1797503,89311,10247,NULL,-168079,503093,-168079,-0.33409131,2919265,2403646,72325,5424,NULL,-494012,582520,-494012,-0.84806015,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,1,2,1,1,0,,,11882951,6182724,12545265,5020533,-662314,1162191,-828038,8086457,85481,14028897
Redding,1887,91,"20,057","1,821",4939.648545,Council-Manager,General Law,91772,10.30,78.10,1.50,1.70,4.70,0.00,0.10,3.50,6,7.1,11.6,9.9,14.9,17.6,11.6,12.1,5,4.2,50579,70260,30.86,Y,2,1,,,1,1,City operated,#REF!,,,,,,,,,,,1,City operated,1,City operated,,MODERATE,75,53.38,10,8.75,7.9,3,5.68,3.25,3.06,2.22,9.52,0,22017718,18285529,1039934,502415,1445,NULL,4269708,1445,0.000338431,27575888,21888127,1090180,1993078,4000,-11762,4784863,-7762,-0.0016222,22764065,23242199,222928,343102,NULL,NULL,-598308,,,158000000,133000000,498873,6381389,16500,-6383351,19117484,-6366851,-0.333038124, , , , , , ,,,,3,4,1,1,0,,,87456872,305000000,99957876,278000000,-13000000,26996017,-5370080,22605206,13622283,175000000
Redlands,1888,31,"8,252","1,904",3659.768908,Council-Manager,General Law,71586,32.50,50.00,6.00,0.20,7.40,0.70,0.30,2.90,5.4,4.5,8.1,7.9,10,15.9,13.4,17.1,7.8,10,72523,98755,49.18,Y,2,1,,,1,1,City operated,#REF!,,,,,,,,,,,1,City operated,1,City operated,,MODERATE,95,55.91,10,12.41,12.65,3,4.88,3.6,3.06,1.11,5.2,0,27149834,20072184,200786,296916,172016,-363027,6981520,-191011,-0.02735951,9611271,8883418,77955,-31570,18962,-38561,837378,-19599,-0.0234052,15110827,12309570,396264,568133,NULL,-8700405,2629388,-8700405,-3.308908765, , , , , , ,,,, , , , , , ,,,,2,3,1,1,0,,,79040066,71848720,79959735,57874622,-919669,13974098,-6398110,53939203,24287894,82929223
Redondo Beach,1892,1,96,855,7784.444444,Council-Manager,Charter,67412,17.40,60.40,2.90,0.20,12.80,0.10,0.60,5.60,2.5,2.4,4.5,4.6,5.9,12.3,12.2,20.3,13.9,21.4,112271,140335,62.22,,,2,,,2,1,California Water Service,#REF!,Yes,,,1,,,1,1,1,,1,City operated,1,Athens Services,,MODERATE,71,53.11,10,14.24,7.05,3,2,3.4,2.22,0,10,1.2, , , , , , ,,,,5576114,3388604,98231,278989,NULL,-19000,2006752,-19000,-0.00946804,4104775,3968186,36257,0,NULL,NULL,172846,,, , , , , , ,,,, , , , , , ,,,,2,2,0,0,0,,,107000000,47958358,108000000,43314213,-1847376,4644145,1045901,42088824,11638657,40505991
Redwood City,1867,16,103,727,11756.94635,Council-Manager,Charter,86200,37.20,42.40,1.80,0.30,14.00,0.80,0.30,3.20,3.3,2.3,5.5,5.7,7.5,12.3,9,17.8,12.2,24.3,107469,147533,77.29,N,1,4,2,"City Run, IOU",6,2,"City operated (25k residents and extends to portion of Woodside), California Water Service",#REF!,,,,,,,,,,,2,"City operated, County operated (Fair Oaks Sewer Maintenance District)",1,Recology,,MODERATE,122,58.33,9.25,12.99,9.18,3.5,4.72,3.25,3.06,0.83,10,1.55,42990320,39577941,62234,1890966,717837,NULL,1583647,717837,0.45328094,37207391,29054577,-2422992,0,NULL,-537454,5729822,-537454,-0.09379942,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,1,2,1,1,0,,,163000000,124000000,150000000,133000000,12841724,-9119163,9741047,129000000,38451592,90039249
Reedley,1913,49,"1,608","2,447",945.320801,Council-Manager,General Law,25579,76.30,16.60,1.30,0.10,2.60,0.10,0.00,3.00,4.9,6.5,12.7,13.4,17.6,19.5,8.9,10.3,3.8,2.4,44812,58228,50.76,N,,1,,,1,1,City operated,#REF!,Yes,,,,,1,1,1,1,1,1,City operated,1,Miramonte Sanitation Inc; Pena's Disposal,,MODERATE,134,59.55,10,6.33,11.38,3.5,8.88,3.75,3.89,2.78,9.04,0,3353862,2833474,105895,177146,NULL,-13000000,449137,-13000000,-28.9443978,5092317,4203346,10286,566813,NULL,-920500,332444,-920500,-2.76888739,3314344,3628633,219782,0,NULL,-605500,-94507,-605500,6.40693282, , , , , , ,,,, , , , , , ,,,,2,3,1,1,0,,,24452427,14075525,16548869,13470379,7903558,605146,-15000000,18286879,1803379,1738830
Rialto,1911,41,"3,865",961,10663.78772,Council-Manager,General Law,103440,74.20,10.30,11.50,0.20,2.30,0.10,0.10,1.40,3.7,4.7,9.7,10.3,14.2,20.5,14.9,14.5,5,2.5,58061,71012,73.41,Y,,4,2,"City Run, Special District",6,2,"City operated, West Valley Water District",#REF!,Yes,,,,,1,,1,,1,1,City operated,1,Burrtec Waste Services,,LOW,292,76.07,10,8.33,25.6,4.25,6.96,3.5,3.61,2.22,10,1.6,15316995,12343342,87283,2246155,NULL,NULL,814781,,,29301736,13926406,363933,11261653,NULL,NULL,4477610,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,1,2,1,1,0,,,125000000,64469277,125000000,54754269,-703635,9715008,-2001712,213000000,94112248,43819544
Richmond,1905,16,611,"6,802",1519.317848,Council-Manager,Charter,110146,41.10,17.90,19.60,0.20,16.20,0.50,0.90,3.70,5.1,5.1,7.6,8.9,12.9,16.6,15.2,15.6,7.2,5.9,64575,82835,87.15,,,3,,,5,1,East Bay Municipal Utility District,#REF!,,,,,,,,,,,2,"West County Sanitation District (North Richmond), Stege Sanitation District (South Richmond)",1,Republic Services,,HIGH,12,39.63,9.6,8.25,4.74,3.13,0,3.5,2.78,0.83,6.8,0, , , , , , ,,,,23036528,14361999,2752618,7326169,NULL,NULL,4100978,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,1,1,0,0,0,,,239000000,71340320,229000000,91405587,9948651,-20000000,396742,55300367,15413531,24295934
Ridgecrest,1963,8,"5,418","7,629",279.3419845,Council-Manager,General Law,28940,19.80,65.40,3.50,1.00,6.90,0.00,0.00,3.50,5.8,4.8,10.6,6.9,11.7,17.9,14,16.1,7.8,4.4,65077,79024,30.05,,,3,,,5,1,Indian Wells Valley Water District,#REF!,,,,,,,,,,,1,City operated,1,Waste Management,,MODERATE,80,53.69,4.8,13.99,2.76,3.13,7.28,3.55,3.33,2.5,10,2.35, , , , , , ,,,,6271780,1579721,302715,0,NULL,-73736,4994774,-73736,-0.01476263,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,1,1,0,0,0,,,21252766,8836940,24274825,4367643,-3022059,4469297,407879,11975154,5336505,25017907
Rio Dell,1965,3,516,"2,817",20.34078807,Council-Manager,General Law,3390,6.40,84.90,0.30,3.50,1.50,0.00,0.00,3.30,2.6,9.6,14.9,19.6,17.8,15.7,12,3.5,2.5,1.7,36660,50791,37.88,N,,1,,,1,1,City operated,#REF!,,,,,,,,,,,1,City operated,1,Recology,,LOW,384,85,10,0,30,5,10,5,5,5,10,5,1005527,817721,1062681,0,NULL,NULL,1250487,,,1283727,1490595,9305,133630,NULL,NULL,-331193,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,1,2,1,1,0,,,1876472,3361240,1773887,2441946,102585,919294,NULL,1694972,1268294,3113082
Rio Vista,1894,12,"2,168",682,1254.692082,Council-Manager,General Law,9239,8.40,76.10,6.60,0.20,6.10,0.90,0.20,1.50,7.3,3.3,5.4,10.9,9.3,15.6,18.2,21.7,5.5,2.8,70000,77450,52.78,N,,1,,,1,1,City operated,#REF!,,,,,,,,,,,1,City operated,1,Mt Diablo Resource Recovery ,,LOW,311,78.28,10,13.08,22.1,3.13,9.28,3.75,3.61,3.33,10,0,2811695,2100580,59745,67140,5000,-25000,703720,-20000,-0.02842039,4616627,4647729,57502,59933,11921,NULL,-33533,11921,-0.35550055,0,0,0,0,NULL,NULL,,,, , , , , , ,,,, , , , , , ,,,,2,3,1,1,0,,,10180406,10686010,10311921,8162308,-131515,2523702,-10000,12893313,4340395,13616180
Ripon,1945,40,"2,330","1,550",925.5483871,Council-Manager,General Law,15896,28.20,65.10,1.00,0.00,2.80,0.00,0.20,2.60,2,2.3,6.6,7.2,11.3,15.2,16,17.7,9.7,11.9,83489,103638,27.52,N,,1,,,1,1,City operated,#REF!,,,,,,,,,,,1,City operated,1,City operated,,LOW,311,78.28,10,13.08,22.1,3.13,9.28,3.75,3.61,3.33,10,0,3967159,1576992,22219,316227,NULL,-2233341,2096159,-2233341,-1.06544446,1468685,1043016,482916,58590,NULL,-550154,849995,-550154,-0.64724381,1834335,1637376,59023,0,NULL,-217282,255982,-217282,-0.848817495, , , , , , ,,,, , , , , , ,,,,2,3,1,1,0,,,16755269,7834337,14182206,4632201,2573063,3202136,-3000777,32188941,14627065,1864743
Riverbank,1922,30,977,803,2985.927771,Council-Manager,General Law,24780,56.70,34.80,0.50,0.50,4.90,0.40,0.10,2.10,3.3,4.2,6.5,8,12.9,22.9,16.3,14.7,6,5.3,65876,80521,50.00,N,,1,,,1,1,City operated,#REF!,Yes,1,1,,,1,1,1,1,1,1,City operated,1,Gilton Solid Waste Management,,LOW,324,79.27,10,13.91,18.83,0,10,3.75,4.17,3.61,10,5,2154866,1693997,8405,0,424434,NULL,469274,424434,0.904448148,4095649,1487620,9753,154157,NULL,-539359,2463625,-539359,-0.21892902,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,1,2,1,1,0,,,11030431,6409986,11532127,3504827,-501696,2905159,-99925,19377399,7404454,4805851
Riverside,1883,45,"5,315","4,683",6948.110186,Council-Manager,Charter,330063,53.30,30.30,5.70,0.30,7.20,0.20,0.30,2.60,5.2,4.4,8.2,8.9,11.7,17.9,15.3,15.9,6.8,5.6,65313,81959,56.41,Y,,3,,,5,1,Riverside Public Utilities,#REF!,Yes,,,,1,1,1,,,,1,City operated,2,"City operated, Burrtec Waste Services",,MODERATE,19,43.16,8.4,0,6.6,3.25,5.84,3.8,3.33,1.94,10,0,66828035,59844410,3230690,8435283,NULL,-6173100,1779032,-6173100,-3.46992072,65080578,45133782,2675560,9013820,NULL,-900000,13608536,-900000,-0.06613496,23084284,22050120,1134610,277331,NULL,-896231,1891443,-896231,-0.473834527,364000000,309000000,9974576,24131363,NULL,-40000000,40843213,-40000000,-0.979354881, , , , , , ,,,,3,4,1,0,-1,,,318000000,590000000,329000000,539000000,-10000000,50890555,-36000000,157000000,84160104,406000000
Rocklin,1893,24,"8,325","1,050",6302,Council-Manager,General Law,67221,13.10,70.40,2.00,0.40,9.40,0.10,0.10,4.50,3.8,3.2,4.9,5.7,7.4,12.3,14.2,22.5,12.6,13.4,97508,114944,40.99,,,3,,,5,1,Placer County Water Agency,#REF!,,,,,,,,,,,1,South Placer Municipal Utility District,1,Recology,,LOW,314,78.4,10,14.08,23.18,3.5,7.28,3.7,3.33,1.67,9.76,1.9, , , , , , ,,,,,,,,,,,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,0,0,0,0,0,,,75522916,2086561,84205092,2021692,-8682176,64869,-57400,56900477,28005441,NULL
Rohnert Park,1962,7,693,"6,133",613.4029023,Council-Manager,General Law,43753,28.70,59.00,2.40,0.10,5.50,0.10,0.30,4.00,4.4,4,7.1,7.8,12.2,20.4,16.3,16.7,7.1,3.9,66387,81173,66.90,N,,1,,,1,1,City operated,#REF!,Yes,,,,1,1,1,,,1,1,City operated,1,Recology,,LOW,276,74.15,10,14.24,18.18,3.88,6.48,3.45,3.33,1.94,10,2.65,8355088,6693828,97698,128602,77390,NULL,1630356,77390,0.04746816,14717271,13354999,108073,242287,205998,-48714,1228058,157284,0.128075384,114560,105873,4884,0,NULL,NULL,13571,,, , , , , , ,,,, , , , , , ,,,,2,3,1,1,0,,,74622339,26236264,58101446,22393080,16520893,3843184,3264775,68565766,35780257,28044504
Rolling Hills,1957,3,73,"1,664",12.19951923,Council-Manager,General Law,1867,6.20,71.20,1.70,0.00,16.90,0.00,0.00,4.00,1.5,2.2,2.5,3.2,6.6,2.7,5.1,10.7,7.4,58,239375,408775,35.23,,,2,,,2,1,California Water Service,#REF!,,,,,,,,,,,1,County operated (Los Angeles County Consolidated Sewer Maintenance District),1,Republic Services,,LOW,463,95.11,10,15,30,2.88,10,3.9,4.44,3.89,10,5, , , , , , ,,,,,,,,,,,,,772267,774769,0,0,NULL,-24000,-2502,-24000,9.592326139, , , , , , ,,,, , , , , , ,,,,1,1,0,0,0,,,2602416,772267,2025450,774769,576966,-2502,-24000,6783351,5052281,574193
Rolling Hills Estates,1957,1,1,"3,941",106.5719361,Council-Manager,General Law,8141,9.40,55.40,2.00,0.00,29.00,0.00,0.00,4.20,2,1.3,1.6,2.3,5.3,11.4,12.1,15.6,10.2,38.1,143873,204822,49.17,,,2,,,2,1,California Water Service,#REF!,Yes,,,,,1,1,1,,,1,County operated (Los Angeles County Consolidated Sewer Maintenance District),1,Waste Management,,MODERATE,243,69.49,9.35,15,7.81,3.5,7.28,4.05,4.17,3.33,10,5, , , , , , ,,,,,,,,,,,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,0,0,0,0,0,,,10491755,NULL,10593904,NULL,-102149,0,NULL,3945530,3026689,NULL
Rosemead,1959,4,27,"15,476",251.589558,Council-Manager,General Law,54412,34.50,3.80,0.20,0.20,60.50,0.00,0.00,0.70,3.8,5.9,12.8,10.2,15.8,18.9,11.7,13.1,4.6,3.1,52057,67958,75.31,,,4,3,"IOU, Mutual, Special District",6,5,"Amarillo Mutual Water, California American Water, GSWC, San Gabriel County Water District, San Gabriel Valley Water",#REF!,Yes,,,,,1,,,,,1,County operated (Los Angeles County Consolidated Sewer Maintenance District),1,Republic Services,,LOW,457,94.47,10,15,30,3.38,9.76,3.55,3.89,3.89,10,5, , , , , , ,,,,,,,,,,,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,0,0,0,0,0,,,32840818,279200,29691941,198425,3148877,80775,NULL,25266961,19525880,NULL
Roseville,1909,19,"6,424","2,608",5234.240798,Council-Manager,Charter,139117,15.20,68.50,1.70,0.20,10.00,0.20,0.00,4.10,4.5,3,5.9,6.4,8.8,16,13.1,20.3,10.9,11.1,84105,104440,43.29,N,,1,,,1,1,City operated,#REF!,,,,,,,,,,,1,City operated,1,City operated,,MODERATE,148,60.55,10,8.08,11.13,3,7.84,3.25,3.61,2.5,9.84,1.3,42717461,30215463,831183,2095180,2454105,-2724827,11238001,-270722,-0.02408987,49622017,37197219,54738,8806994,856970,-5601147,3672542,-4744177,-1.29179653,24257746,22628907,77929,13937,1552101,-1601795,1692831,-49694,-0.029355559,169000000,139000000,3714764,10253772,32802,-9433383,23460992,-9400581,-0.400689834,16528513,17404389,7728031,6813288,NULL,NULL,38867,,,4,5,1,1,0,,,196000000,377000000,209000000,350000000,-14000000,26429320,-4437015,202000000,28954332,343000000
Ross,1908,0,,556,343.3453237,Council-Manager,General Law,2465,4.60,91.10,2.00,0.00,1.30,0.00,0.00,1.00,1.4,1.7,0,2.7,4.8,7.1,5.8,12.8,4.3,59.4,"250,000+",355791,72.64,,,3,,,5,1,Marin Municipal Water District ,#REF!,Yes,,,,1,1,1,1,,1,1,Ross Valley Sanitary District,1,Marin Sanitary Service,,LOW,428,90.12,10,15,30,2.88,8.72,4.1,4.44,2.78,10,2.2, , , , , , ,,,,,,,,,,,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,0,0,0,0,0,,,9744907,NULL,9238136,NULL,506771,0,NULL,11617209,8975843,
Sacramento,1850,27,"2,931","6,820",7356.43695,Council-Manager,Charter,508529,28.70,32.50,13.00,0.30,18.60,1.70,0.50,4.70,6.2,6.4,9.4,8.8,12.3,17.8,12.5,14.6,6.2,5.8,58456,79490,73.82,N,,1,,,1,1,City operated,#REF!,Yes,,,,,1,1,1,1,1,1,City operated,1,City operated,,MODERATE,51,49.97,10,4.17,12.51,3.25,4.4,3.6,2.5,0.56,8.88,0.1,119000000,71293000,2365000,16452000,28000,-13000000,33620000,-12972000,-0.38584176,37596000,26903000,82000,1348000,92000,-4078000,9427000,-3986000,-0.42282805,63431000,56192000,569000,506000,97000,-6973000,7302000,-6876000,-0.941659819, , , , , , ,,,, , , , , , ,,,,2,3,1,1,0,,,724000000,415000000,757000000,324000000,-33000000,91012000,-35000000,490000000,169000000,306000000
Salinas,1874,9,"4,945","1,854",8328.209277,Council-Manager,Charter,156259,78.70,13.20,1.20,0.20,5.30,0.00,0.10,1.30,4.1,4,9.2,9,15.1,21.8,14,13.8,5.6,3.5,58598,73830,72.38,,,2,1,IOU,6,1,"Alco Water Service, California Water Service",#REF!,,,,,,,,,,,1,City operated,1,Republic Services,,MODERATE,112,57.52,9.1,10.75,12.24,4.5,3.36,3.35,1.94,0.28,10,2,6108,21839,0,0,NULL,NULL,-15731,,,3637031,3166347,59683,653842,NULL,-335190,-123475,-335190,2.714638591,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,1,2,1,0,-1,,,162000000,20052515,166000000,25108746,-3776011,-5056231,4001781,74225764,29515119,15243087
San Anselmo,1907,3,4,"1,531",717.7008491,Council-Manager,General Law,12519,5.30,87.20,0.90,0.00,4.00,0.00,0.10,2.50,3.3,1.3,4.8,3.5,4.3,8.8,13,20.6,14.6,25.8,125189,169545,85.43,,,3,,,5,1,Marin Municipal Water District ,#REF!,Yes,,1,,1,1,1,,,1,1,Ross Valley Sanitary District,1,Marin Sanitary Service,,MODERATE,207,67.02,10,13.74,10.66,3.38,8.8,3.5,4.44,2.5,10,0, , , , , , ,,,,,,,,,,,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,0,0,0,0,0,,,20993038,NULL,20386380,448785,606658,-448785,200000,8566064,5602006,NULL
